Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add New Template Variable,Chrome 76.0.3809.100,,,2019-08-15 09:27:05,2019-08-15 09:28:52,1m - 46.126s,INCOMPLETE
,,,,,,,
Test Cases/Application - Login/Login - STA,Chrome 76.0.3809.100,Login in the application and check user element text,,2019-08-15 09:27:06,2019-08-15 09:27:39,33.471s,PASSED
"openBrowser("""")",Chrome 76.0.3809.100,,,2019-08-15 09:27:07,2019-08-15 09:27:17,9.455s,PASSED
"navigateToUrl(""https://bt.adzu4-staging.codeworldwide.com/#Admin/Materials/Templates"")",Chrome 76.0.3809.100,,,2019-08-15 09:27:17,2019-08-15 09:27:19,2.171s,PASSED
"setText(findTestObject(""Login/login_username""), ""satinder.gandhi@codeworldwide.com"")",Chrome 76.0.3809.100,,,2019-08-15 09:27:19,2019-08-15 09:27:26,7.134s,PASSED
"setEncryptedText(findTestObject(""Login/login_password""), ""yfq/9fVkW5+QvfzWq38qvg=="")",Chrome 76.0.3809.100,,,2019-08-15 09:27:26,2019-08-15 09:27:30,3.858s,PASSED
"click(findTestObject(""Object Repository/Test1/button_Login""))",Chrome 76.0.3809.100,,,2019-08-15 09:27:30,2019-08-15 09:27:33,3.111s,PASSED
maximizeWindow(),Chrome 76.0.3809.100,,,2019-08-15 09:27:33,2019-08-15 09:27:35,2.212s,PASSED
"verifyElementText(findTestObject(""Login/span_Satinder""), ""Satinder"")",Chrome 76.0.3809.100,,,2019-08-15 09:27:35,2019-08-15 09:27:37,2.272s,PASSED
,,,,,,,
Test Cases/Template Variables/Open Material and Template,Chrome 76.0.3809.100,,,2019-08-15 09:27:39,2019-08-15 09:27:51,11.576s,PASSED
"waitForElementVisible(findTestObject(""Main Menu/Create Menu/a_Create""), 1)",Chrome 76.0.3809.100,,,2019-08-15 09:27:40,2019-08-15 09:27:42,2.269s,PASSED
"click(findTestObject(""Main Menu/Create Menu/a_Create""))",Chrome 76.0.3809.100,,,2019-08-15 09:27:42,2019-08-15 09:27:45,2.365s,PASSED
