Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search and Delete Template Variable,Chrome 76.0.3809.100,,,2019-08-15 09:31:10,2019-08-15 09:32:22,1m - 11.959s,INCOMPLETE
,,,,,,,
Test Cases/Application - Login/Login - STA,Chrome 76.0.3809.100,Login in the application and check user element text,,2019-08-15 09:31:10,2019-08-15 09:31:41,30.461s,PASSED
"openBrowser("""")",Chrome 76.0.3809.100,,,2019-08-15 09:31:11,2019-08-15 09:31:19,8.158s,PASSED
"navigateToUrl(""https://bt.adzu4-staging.codeworldwide.com/#Admin/Materials/Templates"")",Chrome 76.0.3809.100,,,2019-08-15 09:31:19,2019-08-15 09:31:21,2.081s,PASSED
"setText(findTestObject(""Login/login_username""), ""satinder.gandhi@codeworldwide.com"")",Chrome 76.0.3809.100,,,2019-08-15 09:31:21,2019-08-15 09:31:27,6.036s,PASSED
"setEncryptedText(findTestObject(""Login/login_password""), ""yfq/9fVkW5+QvfzWq38qvg=="")",Chrome 76.0.3809.100,,,2019-08-15 09:31:27,2019-08-15 09:31:31,3.789s,PASSED
"click(findTestObject(""Object Repository/Test1/button_Login""))",Chrome 76.0.3809.100,,,2019-08-15 09:31:31,2019-08-15 09:31:34,2.746s,PASSED
maximizeWindow(),Chrome 76.0.3809.100,,,2019-08-15 09:31:34,2019-08-15 09:31:36,2.186s,PASSED
"verifyElementText(findTestObject(""Login/span_Satinder""), ""Satinder"")",Chrome 76.0.3809.100,,,2019-08-15 09:31:36,2019-08-15 09:31:38,2.272s,PASSED
,,,,,,,
Test Cases/Template Variables/Open Material and Template,Chrome 76.0.3809.100,,,2019-08-15 09:31:41,2019-08-15 09:31:52,11.557s,PASSED
"waitForElementVisible(findTestObject(""Main Menu/Create Menu/a_Create""), 1)",Chrome 76.0.3809.100,,,2019-08-15 09:31:41,2019-08-15 09:31:43,2.235s,PASSED
"click(findTestObject(""Main Menu/Create Menu/a_Create""))",Chrome 76.0.3809.100,,,2019-08-15 09:31:43,2019-08-15 09:31:46,2.302s,PASSED
waitForPageLoad(0),Chrome 76.0.3809.100,,,2019-08-15 09:31:46,2019-08-15 09:31:47,1.150s,PASSED
"click(findTestObject(""Main Menu/Create Menu/span_Materials  Templates""))",Chrome 76.0.3809.100,,,2019-08-15 09:31:47,2019-08-15 09:31:49,2.265s,PASSED
waitForPageLoad(0),Chrome 76.0.3809.100,,,2019-08-15 09:31:49,2019-08-15 09:31:50,1.060s,PASSED
,,,,,,,
Test Cases/Template Variables/Search Template Variables,Chrome 76.0.3809.100,,,2019-08-15 09:31:52,2019-08-15 09:32:07,14.622s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-15 09:31:53,2019-08-15 09:31:54,1.050s,PASSED
"click(findTestObject(""Template_Variables/Search_TemplateVariables/Template_Variable_Filter_Toggle""))",Chrome 76.0.3809.100,,,2019-08-15 09:31:54,2019-08-15 09:31:56,2.389s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-15 09:31:56,2019-08-15 09:31:57,1.010s,PASSED
"setText(findTestObject(""Template_Variables/Search_TemplateVariables/TemplateVariable_Filter_Text""), ""Test123"")",Chrome 76.0.3809.100,,,2019-08-15 09:31:57,2019-08-15 09:32:00,3.413s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-15 09:32:00,2019-08-15 09:32:01,1.008s,PASSED
"click(findTestObject(""Template_Variables/Search_TemplateVariables/Template_Variable_Hide_Button""))",Chrome 76.0.3809.100,,,2019-08-15 09:32:01,2019-08-15 09:32:04,2.262s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-15 09:32:04,2019-08-15 09:32:05,1.009s,PASSED
,,,,,,,
Test Cases/Template Variables/Delete Template Variables,Chrome 76.0.3809.100,,,2019-08-15 09:32:07,2019-08-15 09:32:22,14.786s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-15 09:32:07,2019-08-15 09:32:08,1.012s,PASSED
"click(findTestObject(""Template_Variables/Delete_Template_Variables/Template_Variable_Action Menu""))",Chrome 76.0.3809.100,,,2019-08-15 09:32:08,2019-08-15 09:32:11,2.255s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-15 09:32:11,2019-08-15 09:32:12,1.009s,PASSED
"click(findTestObject(""Template_Variables/Delete_Template_Variables/Template_Variable_Delete_Button""))",Chrome 76.0.3809.100,,,2019-08-15 09:32:12,2019-08-15 09:32:14,2.295s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-15 09:32:14,2019-08-15 09:32:15,1.007s,PASSED
"click(findTestObject(""Template_Variables/Delete_Template_Variables/Template_Varibale_Ok_Button""))",Chrome 76.0.3809.100,,,2019-08-15 09:32:15,2019-08-15 09:32:17,2.378s,PASSED
"True = verifyElementText(findTestObject(""Template_Variables/Add_TemplateVariable/Grid_Name_FirstValue""), """")",Chrome 76.0.3809.100,,,2019-08-15 09:32:17,2019-08-15 09:32:19,2.253s,PASSED
