Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"Add_Template variable,Template and Material",Chrome 76.0.3809.132,,,2019-09-04 12:14:09,2019-09-04 12:16:47,2m - 37.862s,INCOMPLETE
,,,,,,,
Test Cases/Application - Login/Login - STA,Chrome 76.0.3809.132,Login in the application and check user element text,,2019-09-04 12:14:09,2019-09-04 12:14:41,31.825s,PASSED
"openBrowser("""")",Chrome 76.0.3809.132,,,2019-09-04 12:14:11,2019-09-04 12:14:20,9.194s,PASSED
"navigateToUrl(""https://bt.adzu4-staging.codeworldwide.com/"")",Chrome 76.0.3809.132,,,2019-09-04 12:14:20,2019-09-04 12:14:22,2.005s,PASSED
"setText(findTestObject(""Login/login_username""), ""satinder.gandhi@codeworldwide.com"")",Chrome 76.0.3809.132,,,2019-09-04 12:14:22,2019-09-04 12:14:28,5.957s,PASSED
"setEncryptedText(findTestObject(""Login/login_password""), ""yfq/9fVkW5+QvfzWq38qvg=="")",Chrome 76.0.3809.132,,,2019-09-04 12:14:28,2019-09-04 12:14:32,3.731s,PASSED
"click(findTestObject(""Object Repository/Test1/button_Login""))",Chrome 76.0.3809.132,,,2019-09-04 12:14:32,2019-09-04 12:14:34,2.760s,PASSED
maximizeWindow(),Chrome 76.0.3809.132,,,2019-09-04 12:14:34,2019-09-04 12:14:37,2.308s,PASSED
"verifyElementText(findTestObject(""Login/span_Satinder""), ""Satinder"")",Chrome 76.0.3809.132,,,2019-09-04 12:14:37,2019-09-04 12:14:39,2.359s,PASSED
,,,,,,,
Test Cases/Template Variables/Open Material and Template,Chrome 76.0.3809.132,,,2019-09-04 12:14:41,2019-09-04 12:14:51,9.531s,PASSED
"click(findTestObject(""Main Menu/Create Menu/a_Create""))",Chrome 76.0.3809.132,,,2019-09-04 12:14:42,2019-09-04 12:14:44,2.304s,PASSED
waitForPageLoad(0),Chrome 76.0.3809.132,,,2019-09-04 12:14:44,2019-09-04 12:14:45,1.334s,PASSED
