Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Design Material,Chrome 76.0.3809.132,,,2019-09-04 13:28:09,2019-09-04 13:30:11,2m - 1.456s,INCOMPLETE
,,,,,,,
Test Cases/Application - Login/Login - STA,Chrome 76.0.3809.132,Login in the application and check user element text,,2019-09-04 13:28:10,2019-09-04 13:28:43,33.298s,PASSED
"openBrowser("""")",Chrome 76.0.3809.132,,,2019-09-04 13:28:11,2019-09-04 13:28:20,9.122s,PASSED
"navigateToUrl(""https://bt.adzu4-staging.codeworldwide.com/"")",Chrome 76.0.3809.132,,,2019-09-04 13:28:20,2019-09-04 13:28:23,2.562s,PASSED
"setText(findTestObject(""Login/login_username""), ""satinder.gandhi@codeworldwide.com"")",Chrome 76.0.3809.132,,,2019-09-04 13:28:23,2019-09-04 13:28:29,6.396s,PASSED
"setEncryptedText(findTestObject(""Login/login_password""), ""yfq/9fVkW5+QvfzWq38qvg=="")",Chrome 76.0.3809.132,,,2019-09-04 13:28:29,2019-09-04 13:28:33,3.782s,PASSED
"click(findTestObject(""Object Repository/Test1/button_Login""))",Chrome 76.0.3809.132,,,2019-09-04 13:28:33,2019-09-04 13:28:36,3.201s,PASSED
maximizeWindow(),Chrome 76.0.3809.132,,,2019-09-04 13:28:36,2019-09-04 13:28:39,2.389s,PASSED
"verifyElementText(findTestObject(""Login/span_Satinder""), ""Satinder"")",Chrome 76.0.3809.132,,,2019-09-04 13:28:39,2019-09-04 13:28:41,2.323s,PASSED
,,,,,,,
Test Cases/Template Variables/Open Material and Template,Chrome 76.0.3809.132,,,2019-09-04 13:28:43,2019-09-04 13:28:53,9.491s,PASSED
"click(findTestObject(""Main Menu/Create Menu/a_Create""))",Chrome 76.0.3809.132,,,2019-09-04 13:28:43,2019-09-04 13:28:46,2.322s,PASSED
waitForPageLoad(0),Chrome 76.0.3809.132,,,2019-09-04 13:28:46,2019-09-04 13:28:47,1.269s,PASSED
"click(findTestObject(""Main Menu/Create Menu/span_Materials Templates""))",Chrome 76.0.3809.132,,,2019-09-04 13:28:47,2019-09-04 13:28:49,2.353s,PASSED
waitForPageLoad(0),Chrome 76.0.3809.132,,,2019-09-04 13:28:49,2019-09-04 13:28:50,1.041s,PASSED
,,,,,,,
Test Cases/Materials/Open Material,Chrome 76.0.3809.132,,,2019-09-04 13:28:53,2019-09-04 13:29:02,9.155s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 13:28:53,2019-09-04 13:28:54,1.054s,PASSED
"click(findTestObject(""Templates/Open Templates/Burger Menu""))",Chrome 76.0.3809.132,,,2019-09-04 13:28:54,2019-09-04 13:28:56,2.285s,PASSED
"click(findTestObject(""Material/Open Material/MenuOption_Material""))",Chrome 76.0.3809.132,,,2019-09-04 13:28:56,2019-09-04 13:28:59,2.353s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 13:28:59,2019-09-04 13:29:00,1.007s,PASSED
,,,,,,,
Test Cases/Materials/Search Material,Chrome 76.0.3809.132,,,2019-09-04 13:29:02,2019-09-04 13:29:18,16.599s,PASSED
"waitForElementPresent(findTestObject(""Template_Variables/Search_TemplateVariables/Template_Variable_Filter_Toggle""), 1)",Chrome 76.0.3809.132,,,2019-09-04 13:29:02,2019-09-04 13:29:03,1.190s,PASSED
"click(findTestObject(""Template_Variables/Search_TemplateVariables/Template_Variable_Filter_Toggle""))",Chrome 76.0.3809.132,,,2019-09-04 13:29:03,2019-09-04 13:29:06,2.349s,PASSED
"waitForElementPresent(findTestObject(""Material/Search Material/Text_SearchMaterial""), 1)",Chrome 76.0.3809.132,,,2019-09-04 13:29:06,2019-09-04 13:29:07,1.187s,PASSED
"setText(findTestObject(""Material/Search Material/Text_SearchMaterial""), ""Material_Test"")",Chrome 76.0.3809.132,,,2019-09-04 13:29:07,2019-09-04 13:29:11,3.682s,PASSED
"waitForElementVisible(findTestObject(""Template_Variables/Search_TemplateVariables/Template_Variable_Hide_Button""), 1)",Chrome 76.0.3809.132,,,2019-09-04 13:29:11,2019-09-04 13:29:13,2.351s,PASSED
"click(findTestObject(""Template_Variables/Search_TemplateVariables/Template_Variable_Hide_Button""))",Chrome 76.0.3809.132,,,2019-09-04 13:29:13,2019-09-04 13:29:15,2.318s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 13:29:15,2019-09-04 13:29:16,1.008s,PASSED
,,,,,,,
Test Cases/Materials/Design Material,Chrome 76.0.3809.132,,,2019-09-04 13:29:18,2019-09-04 13:30:11,52.376s,FAILED
delay(0),Chrome 76.0.3809.132,,,2019-09-04 13:29:19,2019-09-04 13:29:19,0.002s,PASSED
"click(findTestObject(""Material/Delete Material/Menu_MaterialAction""))",Chrome 76.0.3809.132,,,2019-09-04 13:29:19,2019-09-04 13:29:21,2.258s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 13:29:21,2019-09-04 13:29:22,1.009s,PASSED
"click(findTestObject(""Material/Design Material/MenuOption_Design""))",Chrome 76.0.3809.132,,,2019-09-04 13:29:22,2019-09-04 13:29:24,2.244s,PASSED
"click(findTestObject(""Material/Design Material/Add_Customisation Steps""))",Chrome 76.0.3809.132,,,2019-09-04 13:29:24,2019-09-04 13:29:27,2.449s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 13:29:27,2019-09-04 13:29:28,1.007s,PASSED
"setText(findTestObject(""CustomisationsStep_Name""), ""Image"")",Chrome 76.0.3809.132,,,2019-09-04 13:29:28,2019-09-04 13:29:31,3.302s,PASSED
"click(findTestObject(""Material/Design Material/button_ContentEditor""))",Chrome 76.0.3809.132,,,2019-09-04 13:29:31,2019-09-04 13:29:35,3.695s,FAILED
"setText(findTestObject(""Material/Design Material/ImageEditor_Name""), ""Asset Image"")",Chrome 76.0.3809.132,,,2019-09-04 13:29:35,2019-09-04 13:29:38,3.383s,PASSED
"click(findTestObject(""Material/Design Material/Button_SelectVariables""))",Chrome 76.0.3809.132,,,2019-09-04 13:29:38,2019-09-04 13:29:47,8.409s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 13:29:47,2019-09-04 13:29:48,1.007s,PASSED
"click(findTestObject(""Material/Design Material/span_Retina_Test Retina_Test_k-checkbox-label""))",Chrome 76.0.3809.132,,,2019-09-04 13:29:48,2019-09-04 13:29:50,2.529s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 13:29:50,2019-09-04 13:29:51,1.009s,PASSED
