Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search and Delete Template Variable,Firefox 67.0,,,2019-08-14 10:18:10,2019-08-14 10:19:35,1m - 24.710s,INCOMPLETE
,,,,,,,
Test Cases/Application - Login/Login - STA,Firefox 67.0,Login in the application and check user element text,,2019-08-14 10:18:11,2019-08-14 10:18:52,41.744s,PASSED
"openBrowser("""")",Firefox 67.0,,,2019-08-14 10:18:12,2019-08-14 10:18:26,13.859s,PASSED
"navigateToUrl(""https://bt.adzu4-staging.codeworldwide.com/#"")",Firefox 67.0,,,2019-08-14 10:18:26,2019-08-14 10:18:29,2.532s,PASSED
"waitForElementPresent(findTestObject(""Page_Base/Page_Base/login_username""), 15)",Firefox 67.0,,,2019-08-14 10:18:29,2019-08-14 10:18:35,6.265s,PASSED
"setText(findTestObject(""Page_Base/Page_Base/login_username""), ""satinder.gandhi@codeworldwide.com"")",Firefox 67.0,,,2019-08-14 10:18:35,2019-08-14 10:18:38,3.422s,PASSED
"waitForElementPresent(findTestObject(""Page_Base/Page_Base/login_password""), 0)",Firefox 67.0,,,2019-08-14 10:18:38,2019-08-14 10:18:39,1.070s,PASSED
"setText(findTestObject(""Page_Base/Page_Base/login_password""), ""ADZU#os123"")",Firefox 67.0,,,2019-08-14 10:18:39,2019-08-14 10:18:43,3.277s,PASSED
"click(findTestObject(""Login/LoginButton_STA""))",Firefox 67.0,,,2019-08-14 10:18:43,2019-08-14 10:18:45,2.460s,PASSED
maximizeWindow(),Firefox 67.0,,,2019-08-14 10:18:45,2019-08-14 10:18:46,1.058s,PASSED
"waitForElementPresent(findTestObject(""Page_Base/Home Page/Page_Base/span_Satinder""), 1)",Firefox 67.0,,,2019-08-14 10:18:46,2019-08-14 10:18:48,1.636s,PASSED
"verifyElementText(findTestObject(""Page_Base/Home Page/Page_Base/span_Satinder""), ""Satinder"")",Firefox 67.0,,,2019-08-14 10:18:48,2019-08-14 10:18:50,2.283s,PASSED
,,,,,,,
Test Cases/Template Variables/Open Material and Template,Firefox 67.0,,,2019-08-14 10:18:52,2019-08-14 10:19:05,12.094s,PASSED
"waitForElementVisible(findTestObject(""Main Menu/Create Menu/a_Create""), 1)",Firefox 67.0,,,2019-08-14 10:18:53,2019-08-14 10:18:55,2.284s,PASSED
"click(findTestObject(""Main Menu/Create Menu/a_Create""))",Firefox 67.0,,,2019-08-14 10:18:55,2019-08-14 10:18:58,2.445s,PASSED
waitForPageLoad(0),Firefox 67.0,,,2019-08-14 10:18:58,2019-08-14 10:18:59,1.171s,PASSED
"click(findTestObject(""Main Menu/Create Menu/span_Materials  Templates""))",Firefox 67.0,,,2019-08-14 10:18:59,2019-08-14 10:19:01,2.314s,PASSED
waitForPageLoad(0),Firefox 67.0,,,2019-08-14 10:19:01,2019-08-14 10:19:02,1.039s,PASSED
,,,,,,,
Test Cases/Template Variables/Search Template Variables,Firefox 67.0,,,2019-08-14 10:19:05,2019-08-14 10:19:20,15.179s,PASSED
delay(1),Firefox 67.0,,,2019-08-14 10:19:05,2019-08-14 10:19:06,1.131s,PASSED
"click(findTestObject(""Template_Variables/Search_TemplateVariables/Template_Variable_Filter_Toggle""))",Firefox 67.0,,,2019-08-14 10:19:06,2019-08-14 10:19:09,2.563s,PASSED
delay(1),Firefox 67.0,,,2019-08-14 10:19:09,2019-08-14 10:19:10,1.012s,PASSED
"setText(findTestObject(""Template_Variables/Search_TemplateVariables/TemplateVariable_Filter_Text""), ""Test123"")",Firefox 67.0,,,2019-08-14 10:19:10,2019-08-14 10:19:13,3.132s,PASSED
delay(1),Firefox 67.0,,,2019-08-14 10:19:13,2019-08-14 10:19:14,1.010s,PASSED
"click(findTestObject(""Template_Variables/Search_TemplateVariables/Template_Variable_Hide_Button""))",Firefox 67.0,,,2019-08-14 10:19:14,2019-08-14 10:19:17,2.316s,PASSED
delay(1),Firefox 67.0,,,2019-08-14 10:19:17,2019-08-14 10:19:18,1.011s,PASSED
,,,,,,,
Test Cases/Template Variables/Delete Template Variables,Firefox 67.0,,,2019-08-14 10:19:20,2019-08-14 10:19:35,15.028s,PASSED
delay(1),Firefox 67.0,,,2019-08-14 10:19:20,2019-08-14 10:19:21,1.011s,PASSED
"click(findTestObject(""Template_Variables/Delete_Template_Variables/Template_Variable_Action Menu""))",Firefox 67.0,,,2019-08-14 10:19:21,2019-08-14 10:19:24,2.353s,PASSED
delay(1),Firefox 67.0,,,2019-08-14 10:19:24,2019-08-14 10:19:25,1.016s,PASSED
"click(findTestObject(""Template_Variables/Delete_Template_Variables/Template_Variable_Delete_Button""))",Firefox 67.0,,,2019-08-14 10:19:25,2019-08-14 10:19:27,2.377s,PASSED
delay(1),Firefox 67.0,,,2019-08-14 10:19:27,2019-08-14 10:19:28,1.010s,PASSED
"click(findTestObject(""Template_Variables/Delete_Template_Variables/Template_Varibale_Ok_Button""))",Firefox 67.0,,,2019-08-14 10:19:28,2019-08-14 10:19:30,2.347s,PASSED
"True = verifyElementText(findTestObject(""Template_Variables/Add_TemplateVariable/Grid_Name_FirstValue""), """")",Firefox 67.0,,,2019-08-14 10:19:30,2019-08-14 10:19:33,2.074s,PASSED
